name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
力量钻石,非金属材料,102.18,28.55,31.85,4.6,5.6,42.68,36.18,7
坤彩科技,非金属材料,242.33,10.02,30.89,4.6,4.6,39.24,30.68,8
黄河旋风,非金属材料,60.72,-4.97,64.77,5.8,8.0,19.99,0.0,31
秉扬科技,非金属材料,7.84,21.1,34.03,4.0,6.6,35.82,25.24,14
华秦科技,非金属材料,259.21,-19.49,40.88,4.0,8.8,27.44,11.88,30
奔朗新材,非金属材料,9.6,9.22,38.22,4.6,7.2,28.88,14.17,27
天地数码,非金属材料,20.08,7.63,33.55,2.0,6.2,27.74,12.35,29
东和新材,非金属材料,9.63,17.37,32.45,2.0,6.8,33.76,21.96,17
中钢洛耐,非金属材料,65.03,21.83,65.13,1.8,8.0,36.54,26.39,13
天通股份,非金属材料,130.5,8.23,35.11,7.0,5.8,32.61,20.12,21
惠丰钻石,非金属材料,13.57,27.36,42.34,5.8,5.6,38.69,29.81,10
壹石通,非金属材料,63.73,12.82,22.39,4.0,8.2,34.43,23.03,16
索通发展,非金属材料,101.14,10.59,54.94,1.8,10.0,32.5,19.95,22
中钢天源,非金属材料,73.78,10.71,33.97,4.6,8.0,32.41,19.8,24
