id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
2021,*ST中捷,-443.48,-139.17,-11.73,1.46,-28.76,121.6,92.04,26.86,39.13,48.09
688329,艾隆科技,12.38,13.70,16.68,13.88,15.01,39.9,29.18,42.27,30.18,31.45
852,石化机械,2.06,2.43,0.39,1.40,0.77,69.29,75.29,76.07,77.98,75.51
600545,卓郎智能,-10.05,-12.87,-12.49,12.69,30.58,59.18,65.45,60.38,52.05,58.46
600835,上海机电,7.78,6.71,9.69,10.15,12.17,58.45,60.67,60.23,60.13,61.00
300480,光力科技,4.76,12.13,7.86,7.87,6.22,21.14,21.43,16.68,16.4,12.24
603076,乐惠国际,1.68,3.81,13.10,-3.22,5.01,60.27,53.86,52.82,61.55,59.81
688638,誉辰智能,28.82,58.88,48.86,22.34,,83.2,79.96,78.68,83.82,82.55
601399,国机重装,3.07,3.07,2.69,4.14,12.62,50.63,52.25,51.96,53.59,57.57
600343,航天动力,-2.14,-12.77,1.09,-3.80,1.05,39.12,41.01,37.76,43.51,39.81
2667,威领股份,11.40,-13.12,0.65,1.42,1.65,51.42,25.2,14.48,15.94,17.30
603956,威派格,-11.38,15.22,14.53,11.51,14.78,39.0,44.13,40.63,23.69,20.41
688700,东威科技,25.55,27.48,27.92,35.32,55.13,46.99,48.49,58.29,53.72,72.37
688633,星球石墨,11.09,11.69,28.34,28.90,15.71,34.83,26.6,31.35,41.49,45.57
688499,利元亨,13.05,13.76,15.04,15.48,29.93,72.41,64.17,69.72,59.45,59.93
300950,德固特,10.88,8.14,17.45,18.29,16.21,30.53,26.93,31.39,38.22,38.76
300048,合康新能,1.35,2.84,-25.82,1.04,-10.04,31.43,26.44,36.76,38.07,43.59
300151,昌红科技,10.27,10.02,17.73,6.94,6.61,39.65,37.14,19.3,16.49,14.06
2786,银宝山新,-69.41,-102.52,-44.47,-25.61,4.00,93.98,88.14,85.89,77.71,70.70
603169,兰石重装,5.77,7.67,-16.95,3.12,-59.63,71.42,73.71,83.54,81.9,82.92
600520,文一科技,6.47,2.30,2.22,-17.86,1.15,48.64,46.77,52.05,56.08,48.54
519,中兵红箭,8.73,5.54,3.30,3.19,4.51,35.0,35.78,29.99,25.64,24.57
